name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;180;0;457;3075;1805;3075;1637;0
header;168;108;168;146;1795;146;1795;108
B;285;166;285;202;311;202;311;166
A;971;167;971;200;997;200;997;167
A;1534;391;1534;422;1548;422;1548;391
A;332;526;332;527;336;527;336;526
A;507;671;507;686;516;686;516;671
A;560;681;560;697;568;697;568;681
B;983;849;983;877;1004;877;1004;849
A;1486;857;1486;882;1500;882;1500;857
A;1056;1101;1056;1118;1065;1118;1065;1101
B;1095;1148;1095;1164;1104;1164;1104;1148
C;981;1484;981;1514;1003;1514;1003;1484
A;1142;1735;1142;1761;1157;1761;1157;1735
B;1426;1881;1426;1899;1454;1899;1454;1881
D;987;2153;987;2181;1009;2181;1009;2153
A;721;2338;721;2357;735;2357;735;2338
B;713;2751;713;2771;727;2771;727;2751
A;1586;2876;1586;2876;1591;2876;1591;2876
A;1402;2880;1402;2880;1402;2880;1402;2880
A;1377;2881;1377;2882;1378;2882;1378;2881
